Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($)
Starbucks,8,194.89,41.78,12.94
Ross,3,282.37,79.95,10.25
Subway,6,428.92,94.53,50.15
Target,15,423.09,88.0,43.27
Starbucks,15,145.2,17.62,6.68
Lowe's,4,70.25,17.25,4.4
Subway,5,247.15,32.97,23.75
Ross,14,404.71,36.27,25.0
Subway,6,43.74,11.35,3.28
Lowe's,18,322.6,13.42,28.45
Target,5,347.48,58.54,42.85
Ross,3,50.99,1.72,4.82
Burger King,7,18.72,4.81,1.15
Target,19,130.08,35.46,11.82
Walmart,10,437.41,56.88,51.21
Burger King,16,12.35,3.04,1.14
Burger King,11,111.11,32.36,6.69
Ross,6,364.54,30.74,43.69
Costco,12,369.33,17.1,46.2
Burger King,20,414.72,107.63,16.2
Costco,6,463.67,57.27,23.44
Subway,8,270.17,17.5,31.39
Best Buy,20,398.1,92.29,40.08
Ross,20,296.23,4.3,42.59
Starbucks,7,270.63,40.07,11.92
Walmart,20,98.11,14.5,9.69
Best Buy,10,289.57,86.18,11.95
Target,18,404.81,0.1,60.19
Target,10,447.7,106.37,36.89
Walmart,19,209.24,4.45,29.96
Target,4,153.69,6.87,7.9
Walmart,20,455.01,54.67,37.31
Home Depot,19,235.19,57.34,12.01
Subway,15,271.27,52.73,11.23
Walmart,3,68.05,7.83,4.07
McDonalds,18,58.22,15.12,3.86
Starbucks,6,421.91,3.33,34.28
Home Depot,17,104.49,16.11,7.57
McDonalds,2,210.52,32.39,20.13
McDonalds,11,231.57,12.79,15.25
Walmart,7,64.0,14.54,4.1
Starbucks,5,94.35,20.4,5.74
Home Depot,4,379.6,111.0,36.46
Lowe's,6,397.23,93.59,27.63
Home Depot,5,282.25,37.47,27.49
Target,2,323.45,50.92,19.51
Home Depot,16,116.0,25.36,9.43
Ross,6,155.15,14.85,8.86
KFC,17,311.44,16.79,26.99
Walmart,12,73.17,11.31,7.52
KFC,20,138.68,17.34,17.42
Walmart,8,296.73,17.2,32.6
Burger King,9,248.58,61.98,10.41
Starbucks,4,182.79,10.68,14.47
McDonalds,7,98.07,11.13,9.0
Starbucks,6,485.26,50.42,38.73
Best Buy,2,269.65,55.41,16.15
Burger King,7,258.04,57.01,28.12
Costco,17,487.83,98.65,33.19
Ross,4,147.12,37.38,13.6
Starbucks,6,245.59,21.7,32.24
Best Buy,19,346.42,8.07,44.01
Target,14,137.94,13.56,17.28
Costco,5,234.47,44.13,19.16
Costco,15,203.52,29.44,23.01
Starbucks,16,74.78,1.02,8.78
Costco,15,298.76,6.11,17.94
Home Depot,8,149.48,4.81,20.86
Subway,10,490.31,133.79,38.01
Home Depot,14,264.27,18.02,31.41
Ross,4,475.13,76.3,25.74
Target,16,257.83,33.42,14.57
Subway,20,440.61,128.44,21.27
KFC,1,170.7,5.27,13.47
McDonalds,4,368.69,98.67,39.69
Costco,16,263.88,55.26,29.9
Starbucks,11,441.25,11.99,23.24
Home Depot,9,258.54,26.38,34.62
Target,9,362.88,81.08,39.52
Lowe's,5,23.93,0.7,3.33
Starbucks,11,130.84,0.7,16.04
KFC,8,408.74,89.6,47.14
Burger King,13,104.67,12.37,10.42
Best Buy,10,203.25,36.76,17.4
Costco,11,16.98,0.73,2.17
Walmart,18,149.45,8.83,16.24
McDonalds,19,46.01,3.08,4.01
KFC,10,15.26,2.11,1.49
Home Depot,7,84.41,23.11,3.13
Walmart,6,288.07,58.75,12.61
Target,2,335.57,87.04,24.76
Starbucks,19,396.44,87.58,32.01
KFC,16,493.76,91.35,53.43
Walmart,8,69.3,4.43,4.75
Ross,4,25.56,4.29,2.32
Burger King,20,219.68,42.87,15.83
Burger King,20,382.42,60.12,44.54
Target,17,109.31,20.02,9.41
KFC,13,299.44,68.04,22.17
Subway,8,463.2,36.67,49.58
Burger King,4,411.48,70.77,50.23
Burger King,17,137.27,18.39,16.84
Starbucks,11,345.56,74.25,37.06
Burger King,1,405.65,102.36,45.37
Target,19,57.2,3.37,6.31
Walmart,1,13.95,3.13,0.66
KFC,1,252.32,17.9,31.82
Best Buy,10,393.23,31.16,52.32
Home Depot,20,226.19,32.35,16.11
Subway,20,470.91,109.4,21.93
Burger King,3,81.02,11.09,9.19
Starbucks,20,458.79,130.41,41.58
Burger King,6,277.83,37.87,18.21
Costco,3,465.02,139.14,34.31
Starbucks,12,483.24,48.19,24.23
KFC,11,91.14,7.79,8.14
Best Buy,17,154.91,42.98,14.08
KFC,11,42.18,10.35,4.23
Lowe's,20,91.03,24.55,5.28
Starbucks,16,5.9,0.28,0.48
McDonalds,4,437.7,6.26,40.78
Home Depot,20,418.54,40.74,44.51
Lowe's,9,110.04,5.81,6.28
Burger King,13,283.17,22.46,16.61
Walmart,9,214.44,42.5,22.81
Starbucks,3,170.09,29.82,10.74
McDonalds,2,371.19,26.51,35.27
Walmart,13,162.75,25.6,18.9
Burger King,4,282.9,2.56,34.57
Target,5,400.16,28.93,36.84
Lowe's,14,93.95,7.4,4.66
KFC,10,425.3,93.92,37.32
McDonalds,13,7.71,1.99,0.72
Costco,5,498.38,89.5,57.02
Ross,1,25.58,4.1,1.42
Subway,5,43.88,1.99,2.88
Home Depot,1,187.78,19.39,17.91
Walmart,8,296.15,0.89,37.65
Target,11,47.71,8.23,4.68
Target,3,207.67,22.48,26.96
Starbucks,5,110.34,17.36,10.23
Best Buy,4,162.76,28.45,15.11
Costco,20,86.92,6.66,6.12
Ross,13,212.2,6.2,13.38
Ross,11,226.57,5.5,28.66
Starbucks,12,410.57,51.0,25.42
Ross,19,232.57,41.49,22.14
Subway,8,383.85,42.1,18.14
Home Depot,19,405.29,11.52,21.74
Home Depot,10,314.3,18.79,14.87
Burger King,20,118.49,21.84,9.52
Lowe's,20,215.46,26.07,17.14
Starbucks,6,87.84,21.88,4.1
Subway,15,83.78,21.81,4.51
Ross,9,13.8,3.75,1.3
Target,16,432.92,65.98,26.38
Subway,1,248.13,10.23,16.82
Walmart,10,313.57,90.24,16.23
Walmart,8,426.73,77.98,22.08
Starbucks,19,401.94,24.06,23.63
Home Depot,19,413.13,107.71,44.44
Lowe's,12,446.86,110.37,32.63
Burger King,5,20.24,3.64,1.92
Home Depot,12,158.28,6.77,22.08
Starbucks,13,356.2,63.96,37.84
Lowe's,7,347.91,51.83,42.69
Walmart,14,105.23,9.23,13.09
Costco,10,138.8,6.27,9.4
Ross,6,176.82,46.32,14.26
Ross,2,56.85,17.02,3.0
Starbucks,10,96.93,8.11,12.83
Target,4,209.76,21.04,20.68
Best Buy,9,426.05,122.81,43.59
Walmart,1,174.03,22.14,14.94
Target,19,401.63,14.38,35.7
KFC,3,298.33,78.08,30.18
Best Buy,12,444.51,107.55,21.91
Walmart,5,196.3,21.5,9.23
Target,17,298.28,82.27,29.02
Subway,13,271.84,74.45,12.06
Subway,18,100.56,9.74,9.58
Ross,2,439.28,10.94,22.82
Target,7,440.75,75.38,41.86
Home Depot,7,172.5,5.33,20.49
Ross,9,121.65,23.99,14.39
McDonalds,13,220.44,56.71,8.37
Best Buy,9,212.24,50.13,23.69
Costco,20,184.66,48.84,18.52
Starbucks,17,120.57,20.95,10.62
Subway,4,136.38,26.22,14.12
Costco,11,168.66,31.45,20.14
Costco,8,437.98,39.81,42.63
Costco,13,242.69,66.0,12.81
McDonalds,5,24.6,4.21,1.97
Best Buy,18,121.39,31.65,6.44
Costco,11,91.47,8.11,7.91
McDonalds,16,134.62,19.34,15.04
KFC,6,303.34,75.74,20.57
Home Depot,9,198.34,7.79,20.89
Lowe's,4,400.01,73.03,27.64
Subway,9,8.66,1.16,1.1
McDonalds,13,116.25,20.2,5.04
Walmart,14,464.09,104.68,38.54
KFC,18,396.52,89.12,17.01
Subway,10,229.25,44.27,25.9
Home Depot,4,213.27,50.87,8.83
Target,2,35.93,7.05,3.39
KFC,4,312.14,69.86,12.45
KFC,17,317.05,79.35,29.82
Walmart,7,298.07,36.83,20.37
Costco,6,65.19,3.04,4.59
Lowe's,20,457.35,54.9,22.18
Best Buy,16,426.22,111.46,19.83
Burger King,15,37.85,2.59,4.46
Costco,5,219.83,44.36,16.15
Subway,7,276.95,45.9,27.66
Home Depot,5,351.77,78.26,35.8
Walmart,10,196.23,28.25,16.06
Burger King,14,169.38,32.52,14.14
Costco,10,431.07,64.86,30.76
Burger King,10,123.77,18.98,8.09
Home Depot,11,372.92,110.07,34.97
Costco,10,153.14,4.67,13.49
Best Buy,6,161.28,20.24,13.61
McDonalds,9,263.77,28.85,32.02
Subway,16,222.8,6.47,14.42
Costco,17,406.67,32.32,33.33
McDonalds,1,303.92,71.73,21.27
Target,14,403.14,45.94,27.4
Lowe's,19,297.27,80.91,11.58
Subway,18,122.11,32.96,10.92
Home Depot,5,255.29,71.51,26.15
McDonalds,3,138.35,25.74,8.41
Walmart,1,223.69,20.24,20.88
Home Depot,15,404.75,117.83,33.06
Walmart,6,328.65,0.91,29.48
Costco,11,17.92,3.64,1.37
Best Buy,8,133.16,15.06,11.02
Lowe's,16,87.03,5.64,4.96
Best Buy,17,51.88,3.39,6.16
Burger King,18,462.05,44.59,30.51
Subway,2,162.73,32.91,10.11
Costco,20,294.77,70.95,13.6
Walmart,16,180.42,23.54,10.56
Burger King,17,92.31,4.44,10.98
Burger King,7,153.86,43.86,11.87
Walmart,8,16.76,3.87,1.51
Target,9,230.13,65.84,18.26
Starbucks,17,168.85,18.97,9.45
KFC,15,270.67,66.87,12.17
Ross,6,172.29,11.21,12.1
Target,12,130.69,34.29,4.92
Costco,14,332.33,92.93,25.75
Burger King,14,232.43,5.17,13.63
Lowe's,5,194.03,10.75,25.07
Walmart,12,215.74,18.3,11.52
KFC,19,224.53,61.91,22.99
Subway,7,282.34,67.42,24.91
Walmart,8,225.02,48.83,17.74
Ross,18,272.24,58.75,30.47
Best Buy,7,136.27,20.99,13.78
Starbucks,13,70.05,4.05,5.28
