Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($),Category,Time
Best Buy,5,441.13,76.94,24.33,Electronics,2021-07-12 14:11:00
Best Buy,10,400.31,102.74,35.97,Electronics,2021-01-17 08:07:00
Burger King,15,396.04,100.68,16.61,Food Services,2021-05-11 08:12:06
Home Depot,17,197.01,22.74,17.88,Home Improvement,2021-03-22 00:43:40
Ross,3,268.74,72.49,27.35,Retail,2021-01-09 04:37:03
Burger King,8,374.12,50.55,25.1,Food Services,2021-11-17 08:40:13
Target,13,132.84,3.05,16.38,Retail,2022-04-01 04:25:08
McDonalds,7,429.71,98.18,18.36,Food Services,2022-09-21 10:51:37
Costco,15,128.25,27.32,14.1,Retail,2022-05-29 19:18:41
Ross,20,315.3,48.21,13.71,Retail,2021-04-25 17:59:43
Target,12,186.68,53.97,13.29,Retail,2022-06-19 14:31:41
Starbucks,5,16.14,3.91,1.76,Food Services,2022-10-27 10:19:50
McDonalds,20,201.47,28.62,16.25,Food Services,2022-01-05 06:52:30
Starbucks,11,177.76,34.02,12.66,Food Services,2022-03-26 12:43:08
Home Depot,17,152.46,37.27,12.26,Home Improvement,2021-07-02 17:12:31
McDonalds,14,112.11,17.3,9.57,Food Services,2022-09-20 09:05:40
Subway,17,379.51,60.54,45.02,Food Services,2022-10-12 11:48:09
KFC,16,458.95,35.66,33.93,Food Services,2022-12-05 23:43:32
KFC,17,30.82,6.75,3.53,Food Services,2021-12-23 08:58:45
Burger King,3,14.05,2.52,1.56,Food Services,2022-09-09 15:30:03
Walmart,7,470.08,26.09,29.91,Retail,2022-05-29 15:17:59
Target,20,406.83,1.1,60.49,Retail,2021-01-13 19:23:59
Walmart,20,458.65,23.04,59.69,Retail,2022-10-01 12:41:22
McDonalds,13,412.49,91.37,43.62,Food Services,2021-03-10 04:55:30
Subway,14,392.12,82.29,39.29,Food Services,2021-01-12 02:04:22
Subway,18,139.91,30.99,14.93,Food Services,2021-10-26 05:23:02
McDonalds,11,96.32,5.17,10.56,Food Services,2022-04-21 03:39:31
Subway,17,206.81,38.93,23.68,Food Services,2021-06-26 01:50:31
Walmart,2,220.89,40.06,20.73,Retail,2022-05-19 12:14:33
Ross,17,47.18,4.39,4.85,Retail,2022-05-02 10:34:25
Subway,7,358.64,36.49,20.56,Food Services,2022-05-26 07:46:47
Burger King,9,245.59,35.46,29.69,Food Services,2021-07-29 09:14:07
KFC,3,232.04,52.53,25.1,Food Services,2022-02-03 00:23:20
Starbucks,18,358.84,65.45,27.03,Food Services,2021-05-04 12:50:09
Subway,14,384.31,79.12,40.07,Food Services,2022-08-25 08:58:39
Costco,19,387.81,97.58,36.18,Retail,2022-01-10 14:18:00
Starbucks,4,343.87,43.92,23.28,Food Services,2021-03-27 22:27:32
KFC,12,256.99,41.33,12.39,Food Services,2021-02-01 18:23:32
Subway,1,486.99,139.29,48.27,Food Services,2021-11-13 23:34:17
Home Depot,16,443.53,41.69,53.03,Home Improvement,2021-03-08 01:57:52
Burger King,13,323.73,72.79,18.2,Food Services,2021-06-12 12:28:59
Home Depot,1,28.35,6.65,1.37,Home Improvement,2022-07-22 21:29:21
Burger King,10,206.31,55.21,22.0,Food Services,2022-03-01 08:37:02
Walmart,15,439.79,19.18,60.63,Retail,2021-04-09 17:34:26
KFC,7,296.33,14.97,16.58,Food Services,2021-12-31 18:01:56
Starbucks,9,130.09,15.73,5.82,Food Services,2022-05-10 06:35:41
Walmart,17,388.06,8.17,19.38,Retail,2021-08-10 02:23:28
Ross,5,417.16,63.49,50.87,Retail,2021-03-30 22:45:07
Target,1,371.47,36.03,21.65,Retail,2022-03-26 05:25:33
Costco,3,189.64,14.44,14.57,Retail,2022-01-12 20:27:07
Lowe's,18,265.59,6.44,24.33,Home Improvement,2022-08-27 03:51:33
Home Depot,18,242.62,31.0,12.15,Home Improvement,2021-06-20 08:30:23
Ross,13,415.24,63.71,22.79,Retail,2021-02-24 17:36:00
Ross,5,22.05,4.26,1.1,Retail,2021-02-22 21:44:15
Best Buy,9,284.82,30.1,29.69,Electronics,2022-07-19 13:39:25
Lowe's,13,297.78,28.51,31.5,Home Improvement,2022-04-29 09:13:42
Lowe's,17,175.88,41.01,7.25,Home Improvement,2021-10-26 03:58:21
Target,11,397.29,0.82,42.6,Retail,2022-01-05 04:06:57
Costco,12,220.43,40.93,18.77,Retail,2022-02-07 20:56:14
Best Buy,4,487.4,83.33,21.81,Electronics,2021-10-12 02:12:00
Ross,11,138.28,20.04,16.72,Retail,2021-11-22 12:23:04
Walmart,8,328.9,47.11,34.53,Retail,2021-09-25 09:28:28
KFC,6,461.4,105.37,34.9,Food Services,2022-05-27 11:19:11
Ross,13,349.19,71.75,29.97,Retail,2021-06-15 11:08:39
Walmart,15,499.41,89.86,60.46,Retail,2021-05-15 16:31:42
Subway,15,161.05,15.84,13.5,Food Services,2022-08-21 15:34:15
KFC,5,258.64,30.37,19.83,Food Services,2021-08-18 07:15:47
McDonalds,7,131.18,9.52,13.23,Food Services,2022-12-22 14:53:46
Target,15,122.89,12.45,12.51,Retail,2021-09-08 03:31:21
McDonalds,5,422.82,32.56,26.26,Food Services,2022-07-02 07:41:34
Burger King,20,61.8,17.09,4.38,Food Services,2022-06-22 08:37:31
Ross,20,182.18,13.61,21.95,Retail,2022-02-25 01:34:50
Lowe's,7,150.4,12.34,9.69,Home Improvement,2022-10-18 14:13:48
Home Depot,11,366.78,4.77,52.73,Home Improvement,2022-04-15 01:50:18
Ross,18,231.88,17.45,16.89,Retail,2022-01-13 19:55:02
Home Depot,11,425.01,94.7,39.64,Home Improvement,2022-06-26 10:20:19
Home Depot,2,432.38,14.92,23.32,Home Improvement,2021-05-05 01:15:52
Starbucks,20,361.5,47.51,32.9,Food Services,2021-11-19 05:41:18
Lowe's,12,114.09,23.15,11.15,Home Improvement,2022-09-06 21:43:00
KFC,3,255.53,1.34,29.49,Food Services,2022-02-03 12:17:27
Target,20,497.34,134.45,26.67,Retail,2021-02-02 00:56:48
Costco,10,50.28,8.87,3.69,Retail,2021-04-10 17:25:11
Subway,20,267.95,69.49,13.85,Food Services,2021-08-18 12:13:11
Ross,6,297.24,20.15,17.46,Retail,2021-06-27 08:02:33
Starbucks,16,395.3,17.23,42.2,Food Services,2021-06-08 18:58:15
Costco,5,449.62,89.54,53.08,Retail,2021-05-22 08:40:17
McDonalds,19,13.51,2.18,1.11,Food Services,2021-04-09 00:28:16
Burger King,9,45.37,9.8,3.98,Food Services,2022-06-21 21:57:02
Starbucks,20,369.56,0.45,23.75,Food Services,2021-06-10 21:13:15
Burger King,19,339.35,42.57,19.16,Food Services,2022-02-23 07:19:04
Walmart,17,162.78,10.74,10.25,Retail,2021-09-03 21:57:25
KFC,15,119.56,23.28,11.88,Food Services,2022-06-09 12:08:32
Burger King,7,54.69,8.04,3.98,Food Services,2022-04-03 04:54:16
Starbucks,7,146.44,17.24,8.72,Food Services,2021-03-30 09:17:45
Subway,4,260.87,10.84,34.26,Food Services,2022-12-12 21:54:27
Lowe's,5,214.16,57.58,16.22,Home Improvement,2022-08-15 08:55:07
Ross,3,136.2,39.81,8.45,Retail,2021-02-09 19:36:34
Target,13,369.12,42.52,20.44,Retail,2022-07-06 08:27:42
Burger King,18,286.77,56.44,18.55,Food Services,2021-12-11 14:39:43
Best Buy,19,494.36,31.16,32.58,Electronics,2021-03-10 03:19:08
Costco,18,204.05,31.02,16.72,Retail,2022-05-23 13:08:15
Ross,2,104.75,7.56,10.68,Retail,2021-11-12 17:34:15
Costco,18,110.25,6.57,10.28,Retail,2021-05-29 17:09:56
Costco,17,69.46,4.07,7.04,Retail,2022-05-12 08:26:48
Subway,14,302.37,78.44,31.64,Food Services,2022-06-07 11:11:42
Lowe's,20,395.4,41.61,52.37,Home Improvement,2022-09-05 08:55:34
McDonalds,2,487.49,64.43,43.07,Food Services,2021-06-14 16:42:52
Walmart,5,122.12,17.29,11.58,Retail,2022-10-12 06:51:14
KFC,10,199.13,44.09,22.28,Food Services,2022-11-28 22:22:17
Burger King,10,439.26,11.69,26.7,Food Services,2022-01-21 12:29:43
Target,20,312.57,8.29,41.42,Retail,2021-11-14 22:58:50
McDonalds,1,245.04,10.58,31.53,Food Services,2021-10-15 12:14:39
Burger King,5,62.3,6.01,6.66,Food Services,2021-02-28 16:59:51
Target,7,104.11,9.22,11.36,Retail,2022-05-21 15:59:38
Burger King,13,200.41,8.58,11.07,Food Services,2022-05-04 21:47:29
KFC,5,265.72,66.17,19.74,Food Services,2021-05-01 15:51:26
Subway,5,438.71,56.51,47.43,Food Services,2021-04-01 16:49:47
Ross,5,223.51,56.92,15.39,Retail,2021-05-20 09:38:00
Walmart,10,376.28,64.67,36.85,Retail,2022-05-18 20:09:50
Costco,4,249.67,38.98,11.17,Retail,2022-07-06 23:19:58
KFC,19,47.7,11.76,4.45,Food Services,2021-07-19 12:08:23
Burger King,18,397.53,19.38,42.55,Food Services,2022-06-12 06:13:47
Subway,17,84.13,12.54,10.26,Food Services,2021-07-08 21:24:56
Walmart,8,76.05,13.71,7.9,Retail,2021-04-23 01:09:58
KFC,5,424.87,103.33,35.11,Food Services,2021-05-18 17:20:33
Costco,4,143.32,11.59,12.75,Retail,2022-08-29 21:28:05
Starbucks,19,212.82,2.65,12.08,Food Services,2022-10-05 17:50:31
Lowe's,2,176.78,13.47,14.83,Home Improvement,2022-12-05 09:03:43
Walmart,10,328.19,20.9,18.1,Retail,2022-07-14 21:22:53
Ross,8,436.94,27.92,33.53,Retail,2022-11-11 10:01:33
Walmart,9,213.31,33.23,26.64,Retail,2022-07-07 02:23:27
Target,19,329.61,97.72,33.02,Retail,2021-08-20 15:35:05
Costco,15,326.28,26.4,39.01,Retail,2021-07-23 08:44:36
Starbucks,3,187.12,25.26,14.35,Food Services,2022-05-15 16:23:56
Lowe's,2,317.61,73.49,24.67,Home Improvement,2022-08-23 14:28:07
Home Depot,15,307.59,52.5,25.96,Home Improvement,2021-05-05 12:38:24
Walmart,9,57.95,6.69,3.88,Retail,2022-01-12 13:16:17
Lowe's,9,260.12,10.36,24.91,Home Improvement,2022-11-10 11:22:41
Ross,1,107.84,8.47,11.99,Retail,2022-09-25 09:29:47
Costco,1,220.86,21.37,24.35,Retail,2021-05-30 13:10:36
Target,14,390.78,14.95,42.88,Retail,2021-07-14 03:39:27
Target,16,223.5,46.08,15.15,Retail,2022-10-22 11:51:34
Home Depot,14,185.49,5.87,10.56,Home Improvement,2022-09-14 23:54:56
Lowe's,5,52.55,14.97,3.85,Home Improvement,2022-06-29 07:41:49
Home Depot,16,122.53,23.42,5.91,Home Improvement,2021-02-14 11:55:59
KFC,10,302.39,27.34,28.24,Food Services,2022-03-10 08:03:21
KFC,11,5.07,0.22,0.29,Food Services,2022-08-08 22:32:29
Target,15,424.21,30.89,54.34,Retail,2022-03-20 21:30:34
Lowe's,9,275.2,77.4,17.81,Home Improvement,2021-03-22 04:47:33
Walmart,4,168.17,10.48,16.48,Retail,2022-01-25 03:41:52
Starbucks,3,55.67,10.3,5.63,Food Services,2021-07-10 22:41:23
Costco,6,225.06,11.19,16.21,Retail,2022-10-07 06:24:25
Burger King,6,222.73,55.58,8.81,Food Services,2021-10-21 23:59:48
Walmart,4,54.72,1.36,6.77,Retail,2021-06-12 01:42:30
Starbucks,13,118.62,22.96,9.61,Food Services,2022-10-13 01:42:01
Target,6,215.6,52.15,17.8,Retail,2022-04-13 22:55:26
McDonalds,10,176.67,16.63,18.07,Food Services,2022-08-16 21:41:25
Burger King,15,440.89,94.95,26.06,Food Services,2021-07-31 21:38:44
Ross,6,440.13,118.85,26.46,Retail,2021-01-19 00:55:12
Target,16,312.84,88.36,17.65,Retail,2021-07-12 00:02:55
Walmart,4,232.35,36.08,27.5,Retail,2021-06-03 14:02:58
Home Depot,20,169.23,6.75,16.11,Home Improvement,2022-11-24 21:21:26
Lowe's,15,187.03,11.08,12.39,Home Improvement,2022-01-16 20:51:42
Ross,3,360.95,75.09,41.19,Retail,2021-11-11 12:45:53
Subway,9,107.89,13.86,9.82,Food Services,2022-07-12 06:04:38
Burger King,11,370.92,0.32,41.38,Food Services,2022-10-09 01:32:36
Home Depot,15,353.46,74.39,15.75,Home Improvement,2021-01-31 04:55:56
Costco,12,192.56,23.83,21.62,Retail,2022-06-25 06:13:07
KFC,8,145.18,42.32,10.84,Food Services,2022-05-03 16:58:16
Home Depot,10,338.31,15.63,37.9,Home Improvement,2021-12-02 04:26:29
Home Depot,19,362.28,32.82,34.52,Home Improvement,2021-08-25 03:59:20
Home Depot,19,324.92,16.56,16.57,Home Improvement,2021-12-08 02:22:16
Lowe's,10,37.58,2.56,2.91,Home Improvement,2021-10-20 14:48:36
Walmart,20,172.73,9.49,22.71,Retail,2022-11-13 09:04:56
Costco,4,92.7,16.8,5.53,Retail,2021-05-20 00:33:39
Walmart,17,493.86,136.04,33.54,Retail,2021-12-02 03:48:30
Ross,10,201.44,18.83,18.83,Retail,2021-05-04 19:19:36
Lowe's,6,448.38,14.34,26.77,Home Improvement,2022-09-25 20:25:46
Burger King,10,368.19,33.72,29.81,Food Services,2022-04-01 03:20:45
Starbucks,11,381.25,7.76,47.26,Food Services,2022-07-07 08:05:29
Starbucks,8,465.36,63.49,32.53,Food Services,2022-12-22 09:38:38
McDonalds,13,438.65,55.79,20.78,Food Services,2022-12-21 01:45:40
Costco,12,8.5,0.79,0.39,Retail,2022-05-01 05:49:26
Walmart,5,438.11,114.07,31.42,Retail,2021-03-05 02:33:45
Subway,5,15.01,3.34,0.74,Food Services,2021-03-20 22:24:35
Costco,3,305.73,60.63,17.2,Retail,2021-03-19 18:13:40
Lowe's,14,44.75,6.36,5.22,Home Improvement,2022-01-25 10:59:00
Burger King,6,272.23,11.29,22.77,Food Services,2022-10-22 22:50:16
Home Depot,17,69.35,13.03,8.21,Home Improvement,2022-07-22 08:01:11
Best Buy,8,51.66,12.26,3.46,Electronics,2021-10-16 18:11:20
Best Buy,11,283.04,48.56,20.92,Electronics,2021-08-27 05:35:00
McDonalds,19,348.26,15.93,30.08,Food Services,2022-08-27 19:36:42
Target,10,471.48,71.49,20.84,Retail,2021-01-01 23:05:37
Ross,9,371.59,77.23,33.92,Retail,2021-04-17 07:08:03
Ross,4,415.08,91.48,37.75,Retail,2021-08-03 00:00:59
Starbucks,5,436.75,22.56,47.9,Food Services,2022-09-24 15:43:16
Burger King,11,104.05,19.75,8.44,Food Services,2022-01-20 11:14:21
Ross,9,163.85,31.2,14.82,Retail,2022-06-21 05:48:31
McDonalds,12,400.63,92.48,44.91,Food Services,2022-08-25 17:18:06
Home Depot,18,181.67,34.76,10.75,Home Improvement,2021-01-27 05:06:15
Home Depot,18,138.73,33.28,14.97,Home Improvement,2021-02-06 06:04:55
Burger King,9,362.73,108.36,29.22,Food Services,2021-01-07 01:07:05
KFC,9,117.23,34.76,11.81,Food Services,2022-10-31 13:41:47
Burger King,6,130.43,36.26,12.46,Food Services,2022-05-08 09:16:55
Costco,6,251.22,65.69,20.6,Retail,2021-02-27 10:32:25
Home Depot,10,407.69,82.97,24.62,Home Improvement,2021-01-24 08:03:48
Subway,6,168.05,44.86,9.04,Food Services,2022-03-03 03:15:57
McDonalds,2,323.26,73.03,34.8,Food Services,2021-12-19 12:58:09
Best Buy,15,298.61,86.16,31.1,Electronics,2021-09-27 05:57:38
Target,4,386.83,1.94,33.24,Retail,2022-01-08 17:52:41
McDonalds,13,383.28,1.7,52.22,Food Services,2021-05-27 04:09:42
Subway,16,209.62,24.67,12.09,Food Services,2021-11-30 02:36:44
Home Depot,15,414.51,91.62,36.9,Home Improvement,2021-06-16 17:50:41
Starbucks,3,352.03,16.72,35.83,Food Services,2021-08-22 15:28:48
Burger King,6,53.88,2.49,3.48,Food Services,2021-07-19 07:31:18
Best Buy,14,163.61,35.75,12.66,Electronics,2021-04-04 04:20:21
Starbucks,20,160.98,12.19,11.68,Food Services,2022-04-18 04:27:56
Best Buy,1,252.47,48.94,29.46,Electronics,2021-06-07 16:06:40
Home Depot,9,366.85,83.79,34.6,Home Improvement,2021-01-17 17:52:09
Home Depot,18,47.39,11.35,4.37,Home Improvement,2021-01-20 18:25:39
Walmart,16,340.97,39.9,31.12,Retail,2022-03-03 15:38:26
Lowe's,17,225.23,50.28,21.05,Home Improvement,2022-01-04 20:49:26
Subway,6,404.06,91.49,34.61,Food Services,2021-06-13 07:18:23
Starbucks,14,38.01,1.11,4.75,Food Services,2021-12-18 23:26:50
KFC,5,491.61,73.31,56.3,Food Services,2022-10-31 01:39:40
Burger King,5,246.93,70.79,13.25,Food Services,2021-09-22 23:19:50
Burger King,17,363.07,108.04,32.52,Food Services,2021-10-08 05:14:29
Best Buy,9,199.95,32.1,23.43,Electronics,2021-03-16 17:12:10
Starbucks,5,254.43,11.1,34.89,Food Services,2021-06-01 02:56:21
Walmart,1,247.37,5.79,24.73,Retail,2021-04-19 04:28:16
KFC,15,283.74,47.94,13.7,Food Services,2021-10-05 02:15:17
Ross,15,456.85,5.86,27.21,Retail,2021-03-20 04:47:10
Subway,4,156.69,14.49,15.36,Food Services,2021-05-21 04:38:09
Walmart,16,205.45,39.01,9.84,Retail,2022-10-26 22:26:47
Starbucks,16,218.81,32.35,16.35,Food Services,2021-11-30 09:07:32
McDonalds,14,315.89,18.2,17.02,Food Services,2021-04-17 07:05:56
Lowe's,11,184.63,44.31,13.33,Home Improvement,2021-07-11 02:32:39
Ross,15,487.98,103.19,50.15,Retail,2022-01-22 04:51:57
Ross,4,270.66,49.09,27.23,Retail,2021-05-16 07:12:05
Costco,11,85.77,24.06,7.17,Retail,2021-04-01 14:12:17
Costco,13,164.42,16.17,12.35,Retail,2022-08-15 22:03:48
Walmart,7,330.89,30.02,20.66,Retail,2022-10-21 13:50:38
Best Buy,6,240.24,17.35,27.04,Electronics,2022-11-27 11:05:06
Starbucks,4,30.24,6.75,2.09,Food Services,2022-01-12 10:18:06
KFC,5,354.91,6.14,21.38,Food Services,2022-05-07 00:22:54
Costco,13,305.72,8.61,17.29,Retail,2022-03-27 23:22:09
Costco,7,427.43,115.36,41.98,Retail,2021-11-09 23:43:58
Ross,17,229.04,18.33,17.65,Retail,2021-05-16 14:26:10
KFC,13,134.14,36.03,13.89,Food Services,2022-10-03 19:22:20
Burger King,3,109.65,17.11,12.97,Food Services,2021-10-05 17:48:08
KFC,15,435.19,85.99,20.63,Food Services,2022-02-06 01:29:21
Home Depot,10,232.04,3.92,19.37,Home Improvement,2022-01-23 23:19:36
McDonalds,8,37.26,10.24,2.54,Food Services,2021-03-19 07:24:46
Target,8,64.93,2.61,4.59,Retail,2022-03-02 01:17:43
Target,16,430.88,76.23,40.34,Retail,2022-01-09 18:06:10
Best Buy,9,387.97,2.12,45.7,Electronics,2022-12-14 03:07:00
Ross,9,101.88,16.76,11.35,Retail,2021-08-31 04:03:02
Lowe's,6,59.29,8.1,7.59,Home Improvement,2022-03-13 02:35:26
Subway,19,275.55,54.47,30.29,Food Services,2021-09-04 14:37:03
Subway,11,117.24,11.64,10.5,Food Services,2022-02-08 14:40:12
Burger King,1,487.77,70.51,26.7,Food Services,2021-03-07 06:45:34
Best Buy,1,426.92,97.98,20.05,Electronics,2021-09-07 10:24:45
Starbucks,7,384.13,77.81,38.55,Food Services,2022-07-23 12:46:54
Ross,12,477.94,141.44,48.84,Retail,2022-04-27 06:13:39
KFC,12,448.51,28.23,51.26,Food Services,2022-04-09 04:31:42
Burger King,8,286.64,76.18,26.05,Food Services,2021-11-19 06:22:25
Ross,7,36.39,6.94,4.21,Retail,2022-11-24 12:50:49
Target,9,442.1,103.06,32.29,Retail,2022-02-11 17:41:20
Home Depot,16,168.2,13.43,21.21,Home Improvement,2021-12-11 14:32:57
Best Buy,11,203.66,20.49,16.55,Electronics,2022-11-27 01:52:49
Starbucks,1,110.96,30.27,7.8,Food Services,2021-08-21 01:35:44
Home Depot,14,370.97,92.09,39.84,Home Improvement,2022-06-15 01:29:59
Ross,6,241.27,68.84,11.57,Retail,2022-12-20 15:35:37
McDonalds,3,435.35,35.35,53.64,Food Services,2021-05-08 05:44:23
Subway,6,332.38,12.11,46.02,Food Services,2021-12-04 02:46:23
Ross,4,422.62,6.9,22.38,Retail,2022-07-27 15:12:07
Costco,4,442.11,78.42,23.54,Retail,2021-06-13 00:07:54
KFC,12,186.27,5.35,17.88,Food Services,2021-09-18 17:01:52
Subway,17,105.57,7.09,10.81,Food Services,2021-12-11 20:34:23
Subway,10,52.25,6.56,6.82,Food Services,2022-08-05 19:31:08
McDonalds,5,93.08,19.21,5.73,Food Services,2022-06-10 08:32:47
Target,6,225.57,48.08,18.57,Retail,2022-08-10 02:31:14
Costco,13,10.7,0.61,0.94,Retail,2021-07-12 19:19:15
Target,14,296.65,29.21,26.25,Retail,2022-01-19 01:44:06
Starbucks,8,194.89,41.78,12.94,Food Services,2021-05-12 06:44:46
Costco,18,141.66,19.47,15.79,Retail,2022-04-27 20:26:17
KFC,6,428.92,94.53,50.15,Food Services,2021-09-20 08:02:25
KFC,15,423.09,88.0,43.27,Food Services,2022-09-29 06:17:55
Starbucks,15,145.2,17.62,6.68,Food Services,2022-12-04 23:21:21
Lowe's,4,70.25,17.25,4.4,Home Improvement,2022-04-17 07:48:36
Ross,16,401.26,0.83,33.02,Retail,2021-05-01 13:34:00
Home Depot,1,152.86,8.18,15.59,Home Improvement,2022-09-23 09:59:52
Ross,3,213.48,48.47,22.5,Retail,2022-11-07 15:24:57
Best Buy,5,454.13,111.91,28.73,Electronics,2022-06-22 09:31:25
Best Buy,12,491.57,24.85,27.18,Electronics,2021-07-08 04:51:10
Costco,7,241.79,65.6,25.9,Retail,2022-05-24 05:05:25
McDonalds,1,397.74,44.89,26.97,Food Services,2022-04-04 04:44:37
Starbucks,15,454.76,102.26,51.08,Food Services,2021-08-30 23:20:58
Lowe's,14,456.45,30.51,53.54,Home Improvement,2022-08-02 15:14:20
Lowe's,1,263.26,47.08,19.36,Home Improvement,2022-07-09 05:22:35
Target,7,477.48,80.61,31.5,Retail,2021-05-07 09:40:41
Ross,9,103.85,30.23,4.56,Retail,2022-07-26 16:26:41
Home Depot,5,154.39,11.84,21.36,Home Improvement,2022-10-05 21:39:10
Ross,13,18.71,5.35,1.77,Retail,2022-10-02 10:51:53
Ross,13,208.8,4.82,21.81,Retail,2022-02-21 02:01:55
Costco,7,165.39,22.46,15.12,Retail,2022-04-18 01:57:56
Costco,6,406.2,19.45,42.76,Retail,2022-04-18 11:51:48
Walmart,15,389.2,24.96,20.43,Retail,2021-02-26 21:47:26
Walmart,2,299.14,15.38,35.6,Retail,2021-06-04 18:47:12
Best Buy,10,289.57,86.18,11.95,Electronics,2021-10-17 11:39:25
Best Buy,1,442.44,82.33,41.61,Electronics,2022-11-26 15:55:44
Best Buy,8,292.48,1.07,26.59,Electronics,2021-02-25 01:24:32
Target,9,414.18,42.99,22.29,Retail,2022-03-15 03:19:56
Ross,12,23.98,0.1,2.73,Retail,2022-12-08 02:57:00
Home Depot,1,218.83,53.89,17.65,Home Improvement,2021-08-17 06:42:52
Walmart,6,346.55,47.23,16.99,Retail,2022-08-27 02:27:39
Walmart,2,399.81,15.28,33.98,Retail,2021-05-17 03:00:28
Burger King,8,327.2,10.55,43.25,Food Services,2021-11-03 10:09:43
Home Depot,10,89.72,10.24,9.3,Home Improvement,2022-05-05 09:41:21
Home Depot,17,104.49,16.11,7.57,Home Improvement,2021-07-11 02:55:01
KFC,2,210.52,32.39,20.13,Food Services,2022-10-13 10:25:04
McDonalds,11,231.57,12.79,15.25,Food Services,2021-01-28 17:07:10
McDonalds,4,150.36,14.59,16.74,Food Services,2022-09-09 22:49:37
Ross,6,290.31,36.15,14.11,Retail,2021-10-25 03:55:53
Costco,19,487.5,125.41,36.13,Retail,2022-09-08 10:57:39
Home Depot,8,207.96,24.15,19.49,Home Improvement,2021-12-10 17:56:53
Subway,12,459.89,88.76,38.03,Food Services,2021-06-17 15:15:51
Best Buy,13,245.69,42.14,11.77,Electronics,2021-03-28 05:55:04
Ross,6,155.15,14.85,8.86,Retail,2022-05-11 06:31:19
Best Buy,20,395.77,64.89,25.03,Electronics,2022-08-18 14:55:25
Target,5,27.02,1.75,2.39,Retail,2022-04-22 05:18:12
Starbucks,14,431.42,100.21,41.45,Food Services,2022-04-03 18:10:56
Starbucks,7,171.93,5.42,22.3,Food Services,2022-01-18 04:58:07
Target,10,33.78,2.68,1.89,Retail,2021-08-10 02:35:58
McDonalds,11,120.14,35.3,5.93,Food Services,2022-06-17 02:16:15
Home Depot,4,269.79,20.35,16.68,Home Improvement,2021-09-27 00:14:23
Home Depot,1,439.26,88.17,36.33,Home Improvement,2022-06-16 23:48:46
Costco,9,403.24,24.31,30.34,Retail,2021-03-08 15:45:48
Costco,17,487.83,98.65,33.19,Retail,2021-04-25 11:47:38
Costco,10,367.17,87.92,35.15,Retail,2021-05-16 03:01:26
Lowe's,10,127.31,35.0,13.13,Home Improvement,2022-03-27 16:54:13
Burger King,8,43.46,10.44,2.83,Food Services,2021-07-28 14:24:23
Target,4,396.85,16.72,50.07,Retail,2021-09-30 19:35:54
Best Buy,5,36.04,8.28,2.5,Electronics,2022-01-10 11:19:07
Target,20,159.23,6.73,8.32,Retail,2022-06-20 21:55:54
Costco,15,298.76,6.11,17.94,Retail,2021-11-02 22:43:06
McDonalds,10,314.76,40.16,30.95,Food Services,2022-03-30 04:45:22
Starbucks,18,455.22,77.3,34.17,Food Services,2022-07-31 04:35:22
Home Depot,17,187.05,49.78,10.23,Home Improvement,2022-05-23 13:09:53
KFC,4,475.13,76.3,25.74,Food Services,2021-10-06 07:50:40
Lowe's,17,126.87,29.59,13.92,Home Improvement,2022-04-11 03:09:26
Ross,11,94.78,18.72,3.97,Retail,2021-04-27 08:50:14
Costco,17,160.68,42.98,7.09,Retail,2022-08-02 16:07:01
Best Buy,4,369.42,52.92,35.3,Electronics,2022-12-18 09:05:03
Lowe's,10,170.9,31.59,9.87,Home Improvement,2022-05-08 08:35:45
Home Depot,9,258.54,26.38,34.62,Home Improvement,2022-12-04 05:18:47
Target,9,362.88,81.08,39.52,Retail,2022-09-16 23:56:46
Lowe's,5,23.93,0.7,3.33,Home Improvement,2021-08-07 06:25:06
Target,9,224.62,23.13,16.55,Retail,2021-07-08 08:34:01
Target,12,488.72,133.4,43.28,Retail,2021-06-06 09:19:09
Walmart,13,482.6,84.12,32.21,Retail,2022-09-09 12:54:20
Subway,1,274.82,72.9,16.44,Food Services,2021-12-04 03:43:36
Ross,3,418.43,6.37,58.26,Retail,2021-08-15 16:00:28
McDonalds,12,125.0,21.2,13.12,Food Services,2022-06-03 14:35:25
Home Depot,11,323.91,67.65,20.16,Home Improvement,2021-02-20 10:58:18
Lowe's,9,318.2,36.43,18.61,Home Improvement,2022-12-10 20:46:52
Lowe's,1,83.13,0.07,8.9,Home Improvement,2022-06-12 23:49:02
Walmart,3,188.06,3.06,13.4,Retail,2021-06-25 16:08:09
Lowe's,9,159.49,37.84,15.04,Home Improvement,2022-02-21 14:54:01
Target,16,493.76,91.35,53.43,Retail,2022-08-26 10:16:29
Walmart,8,69.3,4.43,4.75,Retail,2021-04-20 01:48:37
Costco,2,302.23,8.3,39.31,Retail,2022-09-17 05:37:41
Subway,14,229.31,30.95,10.2,Food Services,2022-04-24 18:31:02
KFC,17,314.74,90.81,26.94,Food Services,2021-06-13 16:20:39
Ross,20,153.25,13.51,12.6,Retail,2022-02-10 05:18:47
Walmart,15,287.47,21.33,23.76,Retail,2022-03-09 09:38:26
KFC,10,370.28,91.22,29.95,Food Services,2021-07-18 14:23:45
Burger King,17,137.27,18.39,16.84,Food Services,2022-09-26 23:39:44
Starbucks,11,345.56,74.25,37.06,Food Services,2022-08-01 04:23:13
