Item Name,Item Category,Unit Price ($),Discount ($),Tax ($),Time
Laptop,Electronics,320.73,57.34,15.59,2020-03-15 23:07:39
Nails,Home Improvement,357.71,29.28,39.16,2021-04-23 06:35:22
Burger,Food Services,190.08,32.68,18.26,2020-10-05 23:28:58
Coffee,Food Services,211.16,31.7,19.02,2022-03-23 12:43:33
Laptop,Electronics,63.15,16.92,4.48,2020-04-20 01:57:35
Laptop,Electronics,274.34,10.61,19.9,2021-04-15 04:22:48
Nails,Home Improvement,282.93,28.48,33.64,2021-09-18 07:14:06
Coffee,Food Services,227.45,23.95,25.95,2021-05-25 08:08:23
Smartphone,Electronics,12.93,2.81,0.51,2021-04-09 19:56:07
Smartphone,Electronics,479.33,111.48,26.63,2021-10-06 05:56:32
Coffee,Food Services,127.36,18.15,7.95,2020-06-17 18:49:06
T-shirt,Retail,180.63,26.35,22.09,2020-06-03 09:54:47
Burger,Food Services,484.47,75.92,24.0,2022-05-21 05:15:26
T-shirt,Retail,466.45,88.29,23.55,2022-01-17 11:24:12
Hammer,Home Improvement,78.4,0.86,10.62,2022-01-06 08:10:27
Burger,Food Services,383.11,53.86,38.78,2021-06-07 15:16:24
Smartphone,Electronics,248.55,12.49,12.92,2021-06-17 20:15:36
Jeans,Retail,443.95,90.84,36.05,2020-07-12 03:09:52
Jeans,Retail,92.42,25.59,8.1,2022-01-14 05:38:24
Smartphone,Electronics,76.92,15.89,6.06,2020-06-29 05:05:38
Coffee,Food Services,299.43,2.96,29.28,2022-12-22 18:48:10
Jeans,Retail,278.35,16.4,14.24,2022-02-12 04:53:16
Burger,Food Services,122.18,32.04,10.01,2021-10-24 14:23:22
Nails,Home Improvement,431.11,97.94,30.84,2020-02-28 18:11:42
T-shirt,Retail,442.82,44.92,47.17,2021-04-13 23:45:50
Burger,Food Services,186.95,47.29,17.0,2021-06-04 12:45:32
Smartphone,Electronics,220.01,43.78,23.72,2022-12-03 09:20:08
Laptop,Electronics,34.59,2.28,1.98,2020-08-29 19:34:41
Burger,Food Services,476.97,56.39,40.54,2020-09-15 17:39:51
Coffee,Food Services,446.17,94.26,18.34,2022-08-31 14:38:13
Coffee,Food Services,44.7,5.53,4.19,2022-05-26 21:36:54
Smartphone,Electronics,270.88,51.47,32.05,2021-08-06 10:18:52
Burger,Food Services,265.89,72.3,15.65,2022-09-19 11:07:03
Nails,Home Improvement,40.06,11.66,2.82,2020-05-15 00:40:43
Hammer,Home Improvement,102.77,19.02,7.2,2020-04-12 06:29:40
Nails,Home Improvement,372.77,85.81,21.21,2020-05-11 12:42:37
Hammer,Home Improvement,294.36,84.63,18.19,2020-11-03 15:28:36
Laptop,Electronics,129.94,23.14,8.31,2020-12-09 09:39:59
Coffee,Food Services,191.98,42.96,21.27,2020-04-05 00:04:00
Coffee,Food Services,412.25,32.64,22.36,2021-08-20 18:49:39
Burger,Food Services,158.45,27.77,12.87,2020-01-13 04:42:24
Laptop,Electronics,217.91,25.2,26.44,2020-06-01 08:33:26
Nails,Home Improvement,217.69,43.39,25.49,2021-09-03 18:13:28
Burger,Food Services,442.69,15.79,39.69,2022-05-14 10:52:37
Hammer,Home Improvement,315.03,24.97,17.85,2022-03-17 05:51:41
T-shirt,Retail,187.5,45.17,9.81,2021-03-26 05:18:10
Hammer,Home Improvement,170.03,28.17,9.38,2021-11-27 18:56:34
Laptop,Electronics,409.93,78.36,25.13,2022-01-29 01:01:45
Burger,Food Services,172.68,51.55,13.49,2022-06-27 14:13:52
Smartphone,Electronics,477.7,108.61,27.74,2022-11-21 06:14:07
Nails,Home Improvement,260.83,67.39,21.01,2020-12-03 11:47:57
Laptop,Electronics,18.29,4.61,0.99,2021-10-19 04:00:09
Nails,Home Improvement,279.34,59.28,32.91,2020-05-09 23:11:30
Coffee,Food Services,200.12,36.55,20.37,2021-07-26 04:23:31
Jeans,Retail,79.82,17.26,8.72,2020-12-07 23:20:03
Coffee,Food Services,108.82,27.04,12.13,2021-02-09 07:40:24
T-shirt,Retail,280.99,65.43,10.79,2022-06-28 02:52:50
Jeans,Retail,154.87,32.82,17.7,2020-09-15 18:35:38
Hammer,Home Improvement,43.2,0.18,5.61,2021-10-31 21:05:06
Burger,Food Services,356.22,104.63,25.48,2020-10-25 04:13:43
Jeans,Retail,432.67,11.54,42.23,2021-07-10 22:36:31
Smartphone,Electronics,62.23,11.08,4.93,2020-06-27 15:58:23
Jeans,Retail,87.89,6.36,7.64,2020-04-09 04:47:48
T-shirt,Retail,16.64,4.17,1.42,2022-12-26 12:36:42
T-shirt,Retail,39.01,11.42,2.24,2020-02-12 21:42:32
T-shirt,Retail,25.17,5.35,2.67,2022-03-27 19:49:50
Burger,Food Services,130.53,2.2,11.4,2021-12-02 13:18:28
T-shirt,Retail,291.63,22.18,21.9,2022-11-17 13:26:34
Laptop,Electronics,444.8,94.51,32.35,2020-11-09 07:28:14
Burger,Food Services,260.84,18.08,31.75,2020-07-03 17:17:48
Smartphone,Electronics,16.27,0.4,0.95,2022-02-11 04:45:51
Burger,Food Services,452.17,130.27,16.58,2021-09-10 04:47:08
Jeans,Retail,263.22,9.84,18.92,2021-02-02 10:15:19
T-shirt,Retail,135.01,17.48,14.07,2020-11-17 22:10:04
Hammer,Home Improvement,82.95,22.07,6.24,2022-09-22 18:06:37
Coffee,Food Services,125.36,8.32,9.37,2020-03-06 09:39:17
Burger,Food Services,93.95,27.7,6.92,2020-12-01 09:07:31
Burger,Food Services,117.08,28.82,8.1,2022-08-26 10:35:56
Burger,Food Services,122.43,20.57,14.07,2020-08-15 08:29:27
Burger,Food Services,372.75,58.6,40.02,2020-06-11 12:52:39
Hammer,Home Improvement,361.25,85.61,37.14,2020-11-03 12:51:29
Hammer,Home Improvement,206.61,23.62,16.25,2021-12-13 02:41:26
Smartphone,Electronics,267.08,39.52,14.26,2021-08-10 06:03:11
Nails,Home Improvement,266.87,71.98,27.16,2021-07-15 18:59:40
Hammer,Home Improvement,480.82,141.91,42.22,2022-04-28 18:56:33
Laptop,Electronics,337.38,99.66,35.02,2020-08-23 02:09:15
Smartphone,Electronics,129.87,2.99,16.01,2020-06-11 17:13:27
Coffee,Food Services,370.64,95.4,34.72,2022-07-15 05:27:21
Hammer,Home Improvement,256.13,5.15,23.75,2022-01-27 22:16:58
Laptop,Electronics,355.36,95.63,30.17,2020-08-18 12:49:41
T-shirt,Retail,7.73,0.34,0.86,2022-05-25 23:52:09
Jeans,Retail,415.02,37.02,43.15,2021-09-22 13:18:19
T-shirt,Retail,67.68,9.73,7.15,2022-09-18 15:55:04
Coffee,Food Services,304.67,31.02,21.93,2022-11-22 05:36:30
Burger,Food Services,238.25,21.15,28.41,2021-10-19 11:29:20
Jeans,Retail,175.15,33.52,12.47,2022-03-20 16:48:44
Smartphone,Electronics,348.07,52.37,34.73,2022-02-08 14:04:17
Coffee,Food Services,95.22,6.18,9.03,2022-11-21 06:49:27
Burger,Food Services,404.06,62.72,47.79,2021-05-15 22:11:30
Laptop,Electronics,458.62,35.63,33.91,2022-02-13 07:13:23
Hammer,Home Improvement,394.94,23.02,28.15,2022-02-13 14:53:32
Nails,Home Improvement,10.12,1.81,1.13,2022-09-13 12:55:53
Hammer,Home Improvement,412.91,26.83,53.89,2022-11-06 21:57:04
Burger,Food Services,453.7,90.01,40.35,2020-11-09 18:46:54
T-shirt,Retail,5.5,1.63,0.2,2022-04-23 05:23:20
Burger,Food Services,415.8,38.72,49.85,2022-08-05 05:53:45
Smartphone,Electronics,411.78,91.21,43.54,2020-12-05 20:27:08
Nails,Home Improvement,291.46,68.38,26.76,2020-01-16 01:48:57
Burger,Food Services,8.12,1.3,0.58,2021-06-12 12:19:57
Coffee,Food Services,435.43,50.16,31.56,2021-05-09 09:34:18
Burger,Food Services,248.66,11.28,25.91,2021-05-14 22:30:05
Smartphone,Electronics,293.81,82.91,28.71,2020-02-25 02:21:09
Hammer,Home Improvement,28.02,7.54,1.09,2022-03-26 17:25:20
Burger,Food Services,251.73,31.67,18.3,2020-08-18 11:31:05
Coffee,Food Services,357.5,36.37,20.49,2021-02-03 01:15:06
T-shirt,Retail,243.54,35.16,29.44,2022-07-25 02:03:39
T-shirt,Retail,448.01,10.47,57.06,2020-08-30 04:34:23
Burger,Food Services,449.12,69.04,40.25,2021-08-11 18:20:04
Smartphone,Electronics,304.4,38.47,17.53,2022-06-24 13:53:00
Smartphone,Electronics,383.38,78.93,39.97,2021-04-02 07:22:09
Nails,Home Improvement,292.68,9.78,19.41,2021-12-31 18:57:11
Laptop,Electronics,147.81,32.32,13.68,2020-04-13 02:02:51
Smartphone,Electronics,131.85,31.06,11.44,2020-05-11 11:43:29
Nails,Home Improvement,5.03,0.92,0.61,2022-03-13 09:33:07
Burger,Food Services,444.29,54.39,50.06,2020-03-02 05:31:43
Laptop,Electronics,443.08,41.64,52.98,2020-04-13 01:52:55
Nails,Home Improvement,351.75,67.95,35.46,2020-12-15 15:59:16
Coffee,Food Services,25.3,3.13,3.15,2020-07-21 17:10:28
Hammer,Home Improvement,24.54,5.76,1.19,2020-03-04 02:52:18
T-shirt,Retail,203.94,54.58,21.74,2021-04-11 17:31:27
Hammer,Home Improvement,371.61,49.69,33.56,2020-01-24 17:52:16
Burger,Food Services,322.48,56.94,17.75,2021-11-27 20:36:49
Nails,Home Improvement,288.7,24.93,19.85,2021-05-28 13:27:04
Smartphone,Electronics,342.64,88.91,34.56,2020-09-06 14:57:34
Nails,Home Improvement,438.23,84.07,23.18,2020-08-19 04:23:33
Burger,Food Services,416.49,63.39,50.79,2022-10-16 04:34:18
Nails,Home Improvement,476.68,0.92,62.83,2021-12-16 17:26:57
Burger,Food Services,165.8,37.36,7.53,2021-07-30 19:52:57
Coffee,Food Services,127.68,12.71,11.33,2022-02-23 11:45:11
Nails,Home Improvement,41.35,5.44,4.58,2021-08-16 18:39:45
Laptop,Electronics,276.09,42.96,32.79,2022-04-03 00:39:40
Burger,Food Services,322.5,80.18,24.51,2022-02-19 11:53:45
Burger,Food Services,439.77,18.89,22.49,2020-02-22 05:22:13
Nails,Home Improvement,332.46,52.3,29.85,2022-06-10 11:31:00
Jeans,Retail,469.22,122.38,33.88,2020-05-20 19:33:39
Jeans,Retail,372.22,101.03,26.22,2022-11-20 02:58:25
Jeans,Retail,116.92,17.61,12.17,2022-03-15 16:22:42
Jeans,Retail,171.79,26.4,10.9,2022-07-21 06:55:33
Nails,Home Improvement,238.17,26.29,26.84,2020-04-28 14:50:11
Coffee,Food Services,273.33,42.53,14.12,2021-10-24 08:06:06
Hammer,Home Improvement,285.38,3.4,24.41,2020-11-16 04:08:42
Jeans,Retail,135.36,19.62,16.37,2021-03-25 23:27:42
Smartphone,Electronics,1.65,0.32,0.1,2022-04-11 17:45:59
Laptop,Electronics,371.68,98.92,32.28,2022-07-18 21:57:26
Burger,Food Services,461.09,105.3,34.88,2021-10-11 02:13:42
Burger,Food Services,416.72,86.93,39.08,2022-01-19 02:13:28
Laptop,Electronics,107.3,0.88,10.16,2021-08-26 14:53:53
Burger,Food Services,306.17,28.96,22.95,2022-08-01 14:37:42
Smartphone,Electronics,284.37,73.82,23.76,2022-06-29 22:08:46
Smartphone,Electronics,196.33,21.71,13.89,2020-12-28 20:09:41
Coffee,Food Services,128.2,9.3,12.93,2020-02-01 19:36:58
Jeans,Retail,471.21,33.67,36.65,2022-10-17 14:09:33
Burger,Food Services,161.7,6.98,19.49,2020-01-01 08:58:25
Burger,Food Services,268.72,57.28,13.0,2020-10-09 16:17:35
Laptop,Electronics,240.43,49.9,20.96,2021-04-14 19:51:24
Coffee,Food Services,355.25,9.46,34.47,2022-02-26 09:01:40
Coffee,Food Services,147.58,12.11,9.51,2022-06-04 21:04:52
Smartphone,Electronics,158.35,0.99,10.89,2021-01-30 06:56:02
Coffee,Food Services,302.35,14.84,30.4,2021-05-31 19:25:34
Nails,Home Improvement,126.18,10.89,11.37,2020-04-11 22:31:20
Jeans,Retail,424.4,94.56,39.58,2022-02-05 15:23:13
Smartphone,Electronics,28.17,7.73,2.85,2021-02-11 00:20:55
Jeans,Retail,491.61,112.52,42.27,2021-04-15 09:23:02
Laptop,Electronics,155.13,41.84,15.33,2021-09-25 22:04:13
Laptop,Electronics,188.11,53.39,7.94,2021-08-19 18:30:45
Nails,Home Improvement,497.76,118.03,22.45,2021-08-19 00:36:21
Hammer,Home Improvement,427.4,74.69,29.31,2020-04-06 17:10:29
Nails,Home Improvement,450.66,31.76,22.67,2020-09-11 10:44:09
Nails,Home Improvement,411.97,90.24,19.03,2022-09-22 17:38:51
Smartphone,Electronics,355.18,82.28,29.36,2020-07-16 18:51:50
Coffee,Food Services,139.58,6.65,9.09,2021-01-06 04:45:54
Coffee,Food Services,69.32,18.22,3.87,2021-03-21 23:25:44
T-shirt,Retail,73.49,13.59,4.22,2021-06-02 21:20:29
Burger,Food Services,449.21,89.46,53.03,2020-03-27 06:11:53
Burger,Food Services,100.24,17.71,7.03,2020-02-25 19:42:37
Laptop,Electronics,339.37,76.9,32.58,2022-01-17 17:17:54
Nails,Home Improvement,449.32,94.28,48.01,2021-10-11 03:10:31
T-shirt,Retail,396.1,87.52,15.55,2020-08-06 21:18:52
Burger,Food Services,412.13,91.53,37.68,2022-02-03 00:47:13
Smartphone,Electronics,64.45,9.38,2.98,2022-07-24 02:56:43
Jeans,Retail,474.84,95.42,36.3,2020-05-06 19:00:02
Laptop,Electronics,116.49,22.69,11.57,2022-11-12 07:31:59
Coffee,Food Services,51.09,7.51,3.72,2022-12-21 09:17:24
T-shirt,Retail,109.72,18.18,5.18,2020-08-23 03:37:23
Smartphone,Electronics,57.78,10.23,5.48,2021-07-02 00:17:14
Burger,Food Services,358.14,98.62,24.94,2021-09-30 16:25:03
Smartphone,Electronics,131.54,28.95,7.13,2020-02-24 15:35:51
Burger,Food Services,369.79,29.41,50.18,2022-08-08 08:28:15
Smartphone,Electronics,256.42,26.49,31.33,2021-12-25 08:08:22
Smartphone,Electronics,275.24,63.76,25.64,2021-08-23 16:35:14
Burger,Food Services,328.38,30.09,28.15,2021-12-13 20:22:24
Smartphone,Electronics,105.86,6.46,14.81,2020-03-14 01:30:51
Nails,Home Improvement,268.12,9.78,30.32,2020-06-06 15:28:03
Burger,Food Services,17.11,1.2,0.95,2022-01-01 12:01:19
Smartphone,Electronics,203.84,54.27,15.67,2020-08-23 03:23:56
Coffee,Food Services,110.03,3.0,15.25,2020-02-01 10:09:26
Nails,Home Improvement,257.09,46.57,22.11,2020-02-20 10:24:00
Smartphone,Electronics,300.78,78.03,31.47,2022-07-18 10:15:01
Laptop,Electronics,320.38,57.94,13.88,2022-08-17 02:21:22
Jeans,Retail,490.16,115.93,44.98,2020-07-25 03:29:14
Hammer,Home Improvement,487.39,64.41,43.06,2022-09-05 14:50:44
Coffee,Food Services,413.01,17.76,37.7,2021-05-18 04:17:26
Nails,Home Improvement,302.53,75.87,17.91,2020-06-12 13:36:03
Jeans,Retail,369.27,103.81,37.09,2022-12-23 12:51:45
T-shirt,Retail,438.77,11.67,26.67,2022-05-03 01:33:48
Laptop,Electronics,185.91,34.66,8.9,2022-10-05 04:11:06
Burger,Food Services,205.27,54.16,20.5,2021-06-22 12:43:08
Laptop,Electronics,142.17,22.06,13.61,2020-10-29 21:08:36
Burger,Food Services,58.76,5.67,6.28,2021-08-18 14:42:45
Nails,Home Improvement,180.39,43.9,9.44,2022-01-31 16:26:33
T-shirt,Retail,261.2,33.21,27.94,2020-06-21 10:15:54
Smartphone,Electronics,197.99,8.48,10.94,2020-04-03 10:57:29
Burger,Food Services,263.83,65.7,19.6,2022-08-05 18:54:45
Burger,Food Services,293.12,77.05,20.08,2022-12-24 16:22:02
Coffee,Food Services,59.27,2.81,5.32,2021-12-26 18:02:47
Smartphone,Electronics,468.52,117.93,28.01,2022-08-12 07:54:49
Laptop,Electronics,286.88,58.74,26.18,2022-09-09 06:19:25
Nails,Home Improvement,51.4,3.79,2.58,2021-06-08 20:32:03
Nails,Home Improvement,233.36,18.21,23.36,2022-10-07 11:21:38
Smartphone,Electronics,82.07,15.4,7.86,2020-07-12 03:07:36
Burger,Food Services,477.37,93.11,43.35,2022-11-26 06:32:54
Hammer,Home Improvement,114.01,24.18,10.55,2022-08-24 07:14:12
Burger,Food Services,432.22,125.97,41.29,2021-04-05 10:05:07
Burger,Food Services,34.89,2.92,2.46,2020-07-16 10:58:17
Laptop,Electronics,289.02,22.37,24.53,2021-08-25 04:28:43
Hammer,Home Improvement,354.42,15.03,50.2,2021-04-01 09:47:22
Hammer,Home Improvement,174.17,13.27,14.61,2022-11-23 21:45:37
Hammer,Home Improvement,491.93,96.36,28.18,2020-07-07 19:48:07
Nails,Home Improvement,296.68,12.82,38.96,2022-03-17 05:59:41
Coffee,Food Services,227.04,66.35,8.21,2020-10-20 19:10:59
T-shirt,Retail,210.99,32.87,26.35,2020-02-29 07:37:04
Jeans,Retail,358.15,70.46,42.82,2021-08-31 23:48:11
Coffee,Food Services,149.82,20.01,14.74,2021-11-21 15:07:44
Coffee,Food Services,400.62,31.47,47.07,2021-07-31 05:34:03
Nails,Home Improvement,184.59,24.92,14.15,2020-10-22 21:31:05
Laptop,Electronics,26.93,6.28,1.62,2021-12-08 13:09:40
Smartphone,Electronics,234.64,59.34,21.8,2021-07-07 21:17:22
Coffee,Food Services,81.0,0.18,4.91,2022-09-08 19:10:04
Smartphone,Electronics,354.27,21.03,45.99,2020-04-27 00:51:47
T-shirt,Retail,258.18,10.28,24.73,2020-03-10 08:20:00
Burger,Food Services,347.3,21.65,24.81,2020-03-03 02:35:15
Nails,Home Improvement,329.12,43.06,23.53,2022-01-25 05:32:55
Coffee,Food Services,165.88,38.78,7.98,2021-01-31 17:29:32
Nails,Home Improvement,125.73,28.71,13.7,2020-02-11 09:48:27
Laptop,Electronics,87.71,22.05,6.09,2022-03-18 21:21:38
Smartphone,Electronics,205.66,36.04,25.21,2022-11-01 09:20:12
Laptop,Electronics,66.38,0.31,8.61,2022-06-03 07:25:48
Smartphone,Electronics,327.64,23.34,34.6,2022-06-07 06:07:50
Nails,Home Improvement,211.51,42.85,13.43,2020-12-01 12:17:42
Burger,Food Services,151.38,23.93,13.48,2020-12-22 18:10:04
Jeans,Retail,1.07,0.05,0.06,2020-05-25 05:02:45
Jeans,Retail,226.72,13.49,18.65,2022-09-01 16:12:07
Laptop,Electronics,131.5,6.75,11.85,2022-02-19 11:18:32
Hammer,Home Improvement,52.52,1.69,6.23,2022-12-21 02:03:29
T-shirt,Retail,272.84,41.01,18.58,2022-03-24 13:22:52
Nails,Home Improvement,52.08,9.63,5.27,2021-10-14 14:52:39
Coffee,Food Services,460.6,15.37,29.59,2022-02-26 18:18:32
Burger,Food Services,83.69,6.47,10.27,2021-04-19 06:50:27
Burger,Food Services,220.49,55.02,8.72,2020-06-25 05:31:56
Smartphone,Electronics,9.15,0.34,0.71,2020-08-14 07:43:57
Smartphone,Electronics,105.12,22.81,6.0,2021-10-23 17:19:18
Jeans,Retail,94.1,18.06,3.87,2022-05-29 06:29:35
Smartphone,Electronics,485.27,87.71,31.14,2021-10-17 15:24:26
Jeans,Retail,236.98,60.64,21.82,2020-05-10 12:56:31
T-shirt,Retail,172.95,40.23,9.11,2020-06-11 17:54:29
Coffee,Food Services,450.14,43.69,21.27,2021-10-07 16:13:37
Laptop,Electronics,311.33,87.94,17.57,2020-04-07 17:55:59
Coffee,Food Services,11.49,0.35,1.37,2020-06-03 02:51:13
Burger,Food Services,99.67,11.62,10.57,2021-10-06 22:20:26
Jeans,Retail,276.31,2.73,25.0,2020-08-30 13:57:13
Laptop,Electronics,396.24,104.26,25.34,2020-02-17 16:36:37
Coffee,Food Services,283.98,5.8,41.51,2021-11-24 22:52:35
Nails,Home Improvement,359.83,74.86,41.06,2021-10-31 16:03:45
Smartphone,Electronics,307.11,19.15,26.72,2022-12-02 07:31:18
Laptop,Electronics,359.0,36.91,45.56,2021-10-09 19:36:51
Coffee,Food Services,308.71,77.03,31.67,2020-02-16 19:29:08
Smartphone,Electronics,224.99,34.68,14.91,2022-02-10 11:30:48
Hammer,Home Improvement,43.95,5.0,3.55,2021-05-19 02:12:15
Coffee,Food Services,142.31,41.49,10.62,2021-01-27 09:05:09
Smartphone,Electronics,317.97,64.23,16.59,2020-05-02 00:07:44
Smartphone,Electronics,459.05,54.38,57.44,2021-07-01 14:15:55
T-shirt,Retail,235.37,26.1,19.23,2020-04-19 06:04:21
Burger,Food Services,173.98,22.15,22.15,2020-07-07 13:17:59
T-shirt,Retail,33.85,2.3,2.62,2021-07-12 01:56:03
Smartphone,Electronics,12.99,1.32,0.8,2022-12-10 15:14:49
Laptop,Electronics,438.75,102.11,22.8,2020-02-15 15:16:22
Hammer,Home Improvement,115.19,34.2,4.13,2021-06-20 15:07:37
Smartphone,Electronics,337.91,18.2,28.67,2021-06-24 09:49:18
T-shirt,Retail,479.0,5.44,46.35,2020-10-03 08:52:42
Nails,Home Improvement,330.82,47.0,35.0,2020-01-16 11:29:37
T-shirt,Retail,151.6,1.47,19.81,2020-12-24 01:25:18
Jeans,Retail,380.29,7.74,47.14,2021-07-22 06:06:17
T-shirt,Retail,110.66,30.98,9.03,2020-04-19 13:05:13
Coffee,Food Services,189.43,3.87,10.03,2022-07-15 18:27:04
Nails,Home Improvement,185.05,16.35,9.41,2020-08-10 14:16:51
Hammer,Home Improvement,312.74,14.62,32.61,2020-11-19 01:59:00
Burger,Food Services,235.4,5.74,14.68,2020-01-06 00:30:05
Burger,Food Services,398.0,9.17,21.98,2020-11-14 03:09:15
Nails,Home Improvement,101.68,3.05,9.74,2022-10-20 17:59:24
Nails,Home Improvement,58.45,12.58,4.34,2022-11-12 15:33:41
Burger,Food Services,270.39,11.21,22.61,2020-07-10 08:47:09
Smartphone,Electronics,256.21,6.21,25.16,2020-01-12 03:51:36
Hammer,Home Improvement,365.48,60.64,18.12,2021-03-31 13:38:07
Smartphone,Electronics,448.29,71.09,31.09,2021-07-27 10:10:09
Smartphone,Electronics,454.49,33.02,50.3,2022-12-07 01:10:24
Burger,Food Services,302.87,77.22,33.1,2020-02-08 07:01:08
T-shirt,Retail,471.25,71.45,20.83,2022-07-28 14:22:36
Hammer,Home Improvement,72.42,16.09,6.72,2020-12-27 17:45:56
Burger,Food Services,93.92,23.34,8.71,2020-08-08 09:56:49
Burger,Food Services,138.48,10.83,8.15,2020-10-17 11:33:21
Hammer,Home Improvement,86.92,17.12,9.17,2021-12-06 08:08:20
Jeans,Retail,100.85,19.15,8.18,2020-06-23 14:14:29
Laptop,Electronics,73.16,5.52,4.66,2022-01-10 12:26:13
Nails,Home Improvement,309.17,64.03,20.9,2021-06-19 02:00:43
Smartphone,Electronics,384.95,110.57,34.97,2021-02-05 03:05:46
Smartphone,Electronics,279.11,2.68,23.0,2020-07-21 04:37:50
Smartphone,Electronics,17.84,4.05,1.43,2020-02-13 09:32:18
Burger,Food Services,459.97,6.44,67.17,2020-11-19 07:16:50
Nails,Home Improvement,497.88,96.87,20.36,2021-07-16 17:16:52
T-shirt,Retail,114.14,33.85,11.5,2021-06-04 10:11:45
Burger,Food Services,127.44,35.43,12.17,2022-01-05 08:31:39
Nails,Home Improvement,86.31,5.16,8.66,2021-03-30 14:06:40
Nails,Home Improvement,204.6,49.93,18.23,2021-04-05 08:36:12
T-shirt,Retail,3.59,0.86,0.18,2022-05-09 08:57:33
Burger,Food Services,445.03,31.27,43.39,2022-09-14 20:39:21
Coffee,Food Services,457.5,4.33,47.27,2021-05-22 22:51:08
Coffee,Food Services,227.49,37.31,18.06,2020-10-12 21:42:55
Jeans,Retail,481.86,50.11,26.64,2022-07-10 05:21:55
Hammer,Home Improvement,209.98,11.72,27.15,2020-05-05 12:46:42
Coffee,Food Services,361.46,79.57,32.04,2020-06-08 08:28:33
Smartphone,Electronics,382.33,1.7,52.09,2022-04-08 08:10:34
Coffee,Food Services,307.71,45.63,32.96,2022-06-21 07:38:04
Burger,Food Services,77.77,10.01,10.16,2021-04-23 02:13:03
Coffee,Food Services,127.1,26.73,6.61,2020-08-30 23:07:43
Hammer,Home Improvement,151.1,44.81,7.28,2021-08-08 00:15:10
Burger,Food Services,125.9,15.03,11.33,2020-08-16 05:49:48
Smartphone,Electronics,160.9,35.16,12.45,2020-07-13 13:08:10
Nails,Home Improvement,126.15,11.93,8.59,2020-12-12 03:14:08
T-shirt,Retail,188.33,29.03,15.93,2021-05-05 17:17:08
Coffee,Food Services,211.52,46.39,20.83,2022-02-28 16:00:26
Hammer,Home Improvement,482.73,60.03,24.76,2021-01-12 05:40:57
T-shirt,Retail,356.52,2.72,35.13,2021-01-02 15:13:10
Smartphone,Electronics,474.19,49.74,41.25,2020-10-12 17:56:42
Laptop,Electronics,278.39,61.22,30.4,2021-03-28 03:29:07
Burger,Food Services,403.29,91.32,34.54,2021-08-01 14:23:13
Coffee,Food Services,154.62,3.09,9.05,2021-10-14 02:43:59
Laptop,Electronics,314.81,92.84,22.13,2022-10-27 05:43:15
Laptop,Electronics,430.2,126.76,30.0,2020-03-12 20:32:11
T-shirt,Retail,246.13,52.39,23.7,2020-07-24 10:02:01
Coffee,Food Services,387.85,41.98,34.96,2022-07-22 22:40:01
Smartphone,Electronics,406.76,79.34,35.86,2020-02-01 22:08:43
T-shirt,Retail,447.21,67.61,24.5,2021-09-03 17:58:18
Jeans,Retail,98.09,0.79,9.45,2020-05-01 01:06:35
Hammer,Home Improvement,70.5,9.87,3.85,2022-12-26 18:46:38
T-shirt,Retail,41.39,4.43,2.33,2020-04-23 17:30:34
Laptop,Electronics,456.51,5.86,27.19,2020-07-24 02:04:21
Nails,Home Improvement,312.5,10.32,34.97,2021-10-14 19:22:24
Jeans,Retail,91.07,0.19,11.4,2021-04-10 01:56:37
Smartphone,Electronics,202.9,13.02,17.43,2022-05-05 14:27:41
T-shirt,Retail,471.88,61.15,40.78,2021-10-09 09:32:27
Smartphone,Electronics,73.57,17.87,7.03,2020-08-09 00:42:44
Coffee,Food Services,134.55,32.67,9.83,2022-07-07 04:55:47
Jeans,Retail,146.39,35.59,9.35,2021-10-17 20:20:14
Burger,Food Services,231.12,8.84,18.67,2021-04-07 23:17:35
Coffee,Food Services,249.11,7.24,26.27,2022-09-16 11:48:54
Laptop,Electronics,364.86,19.07,40.14,2021-07-04 19:06:30
Burger,Food Services,136.88,14.63,14.83,2020-05-11 08:27:53
Nails,Home Improvement,57.11,5.52,4.27,2021-01-20 08:17:28
Jeans,Retail,428.13,110.98,21.86,2021-11-21 23:45:42
T-shirt,Retail,320.07,16.3,32.13,2022-09-09 23:42:39
Laptop,Electronics,479.33,11.41,47.9,2021-07-27 14:51:46
T-shirt,Retail,448.35,14.23,38.15,2022-09-16 14:44:26
Nails,Home Improvement,196.14,28.52,10.74,2022-04-02 02:16:41
Burger,Food Services,29.79,1.01,3.26,2020-03-30 21:04:10
Smartphone,Electronics,304.15,8.57,17.2,2021-08-07 18:23:34
Nails,Home Improvement,109.24,24.5,6.8,2021-09-26 18:41:23
Smartphone,Electronics,451.15,71.88,45.61,2020-01-14 02:12:14
Jeans,Retail,313.71,60.87,22.85,2021-10-10 03:17:35
Burger,Food Services,458.13,113.39,20.19,2021-05-13 03:28:53
Jeans,Retail,338.19,46.25,40.9,2021-11-16 12:45:32
Nails,Home Improvement,166.67,21.22,18.74,2020-11-12 21:18:31
T-shirt,Retail,229.87,3.88,19.19,2021-07-31 06:07:28
Laptop,Electronics,113.86,7.9,6.63,2021-03-31 15:27:03
Laptop,Electronics,217.67,23.56,14.07,2022-01-01 11:57:36
Jeans,Retail,67.86,4.82,6.6,2020-05-21 10:49:54
Laptop,Electronics,430.32,76.13,40.29,2020-10-15 02:22:58
Laptop,Electronics,450.8,133.34,43.74,2020-06-17 17:28:14
